phenotype,Gene,ontoma_mapping,ontoma_mapping_label,icd_mapping,icd_mapping_label,top_assoc_mapping,top_assoc_mapping_label
High light scatter reticulocyte percentage,PELO,EFO_0009202,Reticulocyte Mean Corpuscular Hemoglobin Measurement,,,EFO_0010285,integumentary system disease
High light scatter reticulocyte percentage,PELO,EFO_0009202,Reticulocyte Mean Corpuscular Hemoglobin Measurement,,,EFO_0004503,hematological measurement
Mean sphered cell volume,CA1,EFO_0004526,mean corpuscular volume,,,EFO_0005803,hematologic disease
Mean sphered cell volume,CA1,EFO_0004526,mean corpuscular volume,,,EFO_0000508,genetic disorder
Mean sphered cell volume,CA1,EFO_0004526,mean corpuscular volume,,,OTAR_0000018,"genetic, familial or congenital disease"
Mean sphered cell volume,CA1,EFO_0004526,mean corpuscular volume,,,EFO_0001379,endocrine system disease
Mean sphered cell volume,CA1,EFO_0004526,mean corpuscular volume,,,MONDO_0045024,cancer or benign tumor
Mean sphered cell volume,CA1,EFO_0004526,mean corpuscular volume,,,EFO_0010285,integumentary system disease
Mean sphered cell volume,CA1,EFO_0004526,mean corpuscular volume,,,EFO_0001444,measurement
Mean sphered cell volume,CA1,EFO_0004526,mean corpuscular volume,,,EFO_0010282,gastrointestinal disease
Arm predicted mass (left),GH1,,,,,EFO_0000589,metabolic disease
Arm predicted mass (left),GH1,,,,,OTAR_0000020,nutritional or metabolic disease
Arm predicted mass (left),GH1,,,,,EFO_0001444,measurement
Arm predicted mass (left),GH1,,,,,EFO_0001379,endocrine system disease
Arm predicted mass (left),GH1,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Arm predicted mass (left),GH1,,,,,MONDO_0045024,cancer or benign tumor
Arm fat-free mass (left),GH1,,,,,EFO_0000589,metabolic disease
Arm fat-free mass (left),GH1,,,,,OTAR_0000020,nutritional or metabolic disease
Arm fat-free mass (left),GH1,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Arm fat-free mass (left),GH1,,,,,EFO_0001444,measurement
Arm fat-free mass (left),GH1,,,,,EFO_0001379,endocrine system disease
Arm fat-free mass (left),GH1,,,,,MONDO_0045024,cancer or benign tumor
Platelet count,LY75,EFO_0004309,platelet count,,,OTAR_0000018,"genetic, familial or congenital disease"
Platelet count,LY75,EFO_0004309,platelet count,,,EFO_0005803,hematologic disease
Platelet count,LY75,EFO_0004309,platelet count,,,EFO_0001444,measurement
Platelet count,LY75,EFO_0004309,platelet count,,,MONDO_0045024,cancer or benign tumor
Haematocrit percentage,SLC4A1,,,,,EFO_0005803,hematologic disease
Haematocrit percentage,SLC4A1,,,,,EFO_0001444,measurement
Haematocrit percentage,SLC4A1,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Haematocrit percentage,SLC4A1,,,,,EFO_0000508,genetic disorder
Haematocrit percentage,SLC4A1,,,,,EFO_0000589,metabolic disease
Haematocrit percentage,SLC4A1,,,,,OTAR_0000020,nutritional or metabolic disease
Mean sphered cell volume,TERT,EFO_0004526,mean corpuscular volume,,,EFO_0005803,hematologic disease
Mean sphered cell volume,TERT,EFO_0004526,mean corpuscular volume,,,EFO_0000508,genetic disorder
Mean sphered cell volume,TERT,EFO_0004526,mean corpuscular volume,,,OTAR_0000018,"genetic, familial or congenital disease"
Mean sphered cell volume,TERT,EFO_0004526,mean corpuscular volume,,,EFO_0001379,endocrine system disease
Mean sphered cell volume,TERT,EFO_0004526,mean corpuscular volume,,,MONDO_0045024,cancer or benign tumor
Mean sphered cell volume,TERT,EFO_0004526,mean corpuscular volume,,,EFO_0010285,integumentary system disease
Mean sphered cell volume,TERT,EFO_0004526,mean corpuscular volume,,,EFO_0001444,measurement
Mean sphered cell volume,TERT,EFO_0004526,mean corpuscular volume,,,EFO_0010282,gastrointestinal disease
Standing height,LOXL2,EFO_0004339,body height,,,OTAR_0000018,"genetic, familial or congenital disease"
Standing height,LOXL2,EFO_0004339,body height,,,EFO_0000508,genetic disorder
Standing height,LOXL2,EFO_0004339,body height,,,EFO_0001444,measurement
Standing height,LOXL2,EFO_0004339,body height,,,OTAR_0000006,musculoskeletal or connective tissue disease
Standing height,LOXL2,EFO_0004339,body height,,,EFO_0010282,gastrointestinal disease
Standing height,LOXL2,EFO_0004339,body height,,,EFO_0001379,endocrine system disease
Standing height,LOXL2,EFO_0004339,body height,,,EFO_0005803,hematologic disease
Standing height,LOXL2,EFO_0004339,body height,,,MONDO_0045024,cancer or benign tumor
Standing height,LOXL2,EFO_0004339,body height,,,EFO_0010285,integumentary system disease
Standing height,LOXL2,EFO_0004339,body height,,,EFO_0000616,neoplasm
Standing height,LOXL2,EFO_0004339,body height,,,MONDO_0023370,neoplastic disease or syndrome
Standing height,LOXL2,EFO_0004339,body height,,,GO_0008150,biological process
Arm fat-free mass (right),GH1,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Arm fat-free mass (right),GH1,,,,,EFO_0001444,measurement
Arm fat-free mass (right),GH1,,,,,EFO_0000589,metabolic disease
Arm fat-free mass (right),GH1,,,,,OTAR_0000020,nutritional or metabolic disease
Arm fat-free mass (right),GH1,,,,,MONDO_0045024,cancer or benign tumor
Arm fat-free mass (right),GH1,,,,,EFO_0001379,endocrine system disease
Leg predicted mass (left),IGF1R,,,,,EFO_0000589,metabolic disease
Leg predicted mass (left),IGF1R,,,,,OTAR_0000020,nutritional or metabolic disease
Leg predicted mass (left),IGF1R,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Leg predicted mass (left),IGF1R,,,,,EFO_0001379,endocrine system disease
Leg predicted mass (left),IGF1R,,,,,EFO_0001444,measurement
Leg predicted mass (left),IGF1R,,,,,MONDO_0045024,cancer or benign tumor
Sitting height,FGF2,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Sitting height,FGF2,,,,,EFO_0000508,genetic disorder
Sitting height,FGF2,,,,,EFO_0001444,measurement
Sitting height,FGF2,,,,,MONDO_0045024,cancer or benign tumor
Sitting height,FGF2,,,,,EFO_0001379,endocrine system disease
Sitting height,FGF2,,,,,EFO_0010285,integumentary system disease
Sitting height,FGF2,,,,,EFO_0005803,hematologic disease
Sitting height,FGF2,,,,,OTAR_0000006,musculoskeletal or connective tissue disease
Standing height,HTRA1,EFO_0004339,body height,,,OTAR_0000018,"genetic, familial or congenital disease"
Standing height,HTRA1,EFO_0004339,body height,,,EFO_0000508,genetic disorder
Standing height,HTRA1,EFO_0004339,body height,,,EFO_0001444,measurement
Standing height,HTRA1,EFO_0004339,body height,,,OTAR_0000006,musculoskeletal or connective tissue disease
Standing height,HTRA1,EFO_0004339,body height,,,EFO_0010282,gastrointestinal disease
Standing height,HTRA1,EFO_0004339,body height,,,EFO_0001379,endocrine system disease
Standing height,HTRA1,EFO_0004339,body height,,,EFO_0005803,hematologic disease
Standing height,HTRA1,EFO_0004339,body height,,,MONDO_0045024,cancer or benign tumor
Standing height,HTRA1,EFO_0004339,body height,,,EFO_0010285,integumentary system disease
Standing height,HTRA1,EFO_0004339,body height,,,EFO_0000616,neoplasm
Standing height,HTRA1,EFO_0004339,body height,,,MONDO_0023370,neoplastic disease or syndrome
Standing height,HTRA1,EFO_0004339,body height,,,GO_0008150,biological process
Impedance of arm (left),COL8A2,,,,,EFO_0010285,integumentary system disease
Impedance of arm (left),COL8A2,,,,,EFO_0000508,genetic disorder
Impedance of arm (left),COL8A2,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Impedance of arm (left),COL8A2,,,,,MONDO_0045024,cancer or benign tumor
Direct bilirubin,ATP11C,,,,,EFO_0000508,genetic disorder
Direct bilirubin,ATP11C,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Direct bilirubin,ATP11C,,,,,EFO_0000589,metabolic disease
Direct bilirubin,ATP11C,,,,,OTAR_0000020,nutritional or metabolic disease
Direct bilirubin,ATP11C,,,,,EFO_0001444,measurement
Direct bilirubin,ATP11C,,,,,EFO_0005803,hematologic disease
High light scatter reticulocyte count,PKLR,EFO_0007986,reticulocyte count,,,EFO_0001444,measurement
High light scatter reticulocyte count,PKLR,EFO_0007986,reticulocyte count,,,OTAR_0000018,"genetic, familial or congenital disease"
High light scatter reticulocyte count,PKLR,EFO_0007986,reticulocyte count,,,EFO_0000508,genetic disorder
High light scatter reticulocyte count,PKLR,EFO_0007986,reticulocyte count,,,MONDO_0045024,cancer or benign tumor
High light scatter reticulocyte count,PKLR,EFO_0007986,reticulocyte count,,,EFO_0000589,metabolic disease
High light scatter reticulocyte count,PKLR,EFO_0007986,reticulocyte count,,,OTAR_0000020,nutritional or metabolic disease
High light scatter reticulocyte count,PKLR,EFO_0007986,reticulocyte count,,,EFO_0000618,nervous system disease
High light scatter reticulocyte count,PKLR,EFO_0007986,reticulocyte count,,,EFO_0010285,integumentary system disease
High light scatter reticulocyte count,PKLR,EFO_0007986,reticulocyte count,,,EFO_0005803,hematologic disease
Mean sphered cell volume,SPTB,EFO_0004526,mean corpuscular volume,,,EFO_0005803,hematologic disease
Mean sphered cell volume,SPTB,EFO_0004526,mean corpuscular volume,,,EFO_0000508,genetic disorder
Mean sphered cell volume,SPTB,EFO_0004526,mean corpuscular volume,,,OTAR_0000018,"genetic, familial or congenital disease"
Mean sphered cell volume,SPTB,EFO_0004526,mean corpuscular volume,,,EFO_0001379,endocrine system disease
Mean sphered cell volume,SPTB,EFO_0004526,mean corpuscular volume,,,MONDO_0045024,cancer or benign tumor
Mean sphered cell volume,SPTB,EFO_0004526,mean corpuscular volume,,,EFO_0010285,integumentary system disease
Mean sphered cell volume,SPTB,EFO_0004526,mean corpuscular volume,,,EFO_0001444,measurement
Mean sphered cell volume,SPTB,EFO_0004526,mean corpuscular volume,,,EFO_0010282,gastrointestinal disease
Standing height,ANGPTL2,EFO_0004339,body height,,,OTAR_0000018,"genetic, familial or congenital disease"
Standing height,ANGPTL2,EFO_0004339,body height,,,EFO_0000508,genetic disorder
Standing height,ANGPTL2,EFO_0004339,body height,,,EFO_0001444,measurement
Standing height,ANGPTL2,EFO_0004339,body height,,,OTAR_0000006,musculoskeletal or connective tissue disease
Standing height,ANGPTL2,EFO_0004339,body height,,,EFO_0010282,gastrointestinal disease
Standing height,ANGPTL2,EFO_0004339,body height,,,EFO_0001379,endocrine system disease
Standing height,ANGPTL2,EFO_0004339,body height,,,EFO_0005803,hematologic disease
Standing height,ANGPTL2,EFO_0004339,body height,,,MONDO_0045024,cancer or benign tumor
Standing height,ANGPTL2,EFO_0004339,body height,,,EFO_0010285,integumentary system disease
Standing height,ANGPTL2,EFO_0004339,body height,,,EFO_0000616,neoplasm
Standing height,ANGPTL2,EFO_0004339,body height,,,MONDO_0023370,neoplastic disease or syndrome
Standing height,ANGPTL2,EFO_0004339,body height,,,GO_0008150,biological process
Vitamin D,INSC,,,,,EFO_0010285,integumentary system disease
Vitamin D,INSC,,,,,EFO_0000618,nervous system disease
Vitamin D,INSC,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Vitamin D,INSC,,,,,OTAR_0000006,musculoskeletal or connective tissue disease
Vitamin D,INSC,,,,,EFO_0009676,musculoskeletal system disease
Vitamin D,INSC,,,,,EFO_0001444,measurement
Leg fat-free mass (left),IGF1R,,,,,EFO_0000589,metabolic disease
Leg fat-free mass (left),IGF1R,,,,,OTAR_0000020,nutritional or metabolic disease
Leg fat-free mass (left),IGF1R,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Leg fat-free mass (left),IGF1R,,,,,EFO_0001379,endocrine system disease
Leg fat-free mass (left),IGF1R,,,,,EFO_0001444,measurement
Cholesterol,GIGYF1,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Cholesterol,GIGYF1,,,,,EFO_0000589,metabolic disease
Cholesterol,GIGYF1,,,,,OTAR_0000020,nutritional or metabolic disease
Cholesterol,GIGYF1,,,,,EFO_0001379,endocrine system disease
Cholesterol,GIGYF1,,,,,OTAR_0000010,respiratory or thoracic disease
Cholesterol,GIGYF1,,,,,EFO_0001444,measurement
Arm predicted mass (left),ACAN,,,,,EFO_0000589,metabolic disease
Arm predicted mass (left),ACAN,,,,,OTAR_0000020,nutritional or metabolic disease
Arm predicted mass (left),ACAN,,,,,EFO_0001444,measurement
Arm predicted mass (left),ACAN,,,,,EFO_0001379,endocrine system disease
Arm predicted mass (left),ACAN,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Arm predicted mass (left),ACAN,,,,,MONDO_0045024,cancer or benign tumor
Immature reticulocyte fraction,SPHK1,EFO_0009253,Immature Reticulocyte Fraction Measurement,,,EFO_0001444,measurement
Immature reticulocyte fraction,SPHK1,EFO_0009253,Immature Reticulocyte Fraction Measurement,,,MONDO_0045024,cancer or benign tumor
Immature reticulocyte fraction,SPHK1,EFO_0009253,Immature Reticulocyte Fraction Measurement,,,EFO_0000508,genetic disorder
Immature reticulocyte fraction,SPHK1,EFO_0009253,Immature Reticulocyte Fraction Measurement,,,OTAR_0000018,"genetic, familial or congenital disease"
Immature reticulocyte fraction,SPHK1,EFO_0009253,Immature Reticulocyte Fraction Measurement,,,EFO_0000618,nervous system disease
Total protein,STAB1,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Total protein,STAB1,,,,,EFO_0000540,immune system disease
Total protein,STAB1,,,,,EFO_0001444,measurement
Reticulocyte count,SPHK1,EFO_0007986,reticulocyte count,,,OTAR_0000018,"genetic, familial or congenital disease"
Reticulocyte count,SPHK1,EFO_0007986,reticulocyte count,,,EFO_0000508,genetic disorder
Reticulocyte count,SPHK1,EFO_0007986,reticulocyte count,,,EFO_0001444,measurement
Reticulocyte count,SPHK1,EFO_0007986,reticulocyte count,,,EFO_0010285,integumentary system disease
Reticulocyte count,SPHK1,EFO_0007986,reticulocyte count,,,MONDO_0045024,cancer or benign tumor
Reticulocyte count,SPHK1,EFO_0007986,reticulocyte count,,,EFO_0005803,hematologic disease
Reticulocyte count,SPHK1,EFO_0007986,reticulocyte count,,,EFO_0000589,metabolic disease
Reticulocyte count,SPHK1,EFO_0007986,reticulocyte count,,,OTAR_0000020,nutritional or metabolic disease
Red blood cell (erythrocyte) distribution width,PIEZO1,EFO_0009188,Red cell distribution width,,,EFO_0005803,hematologic disease
Red blood cell (erythrocyte) distribution width,PIEZO1,EFO_0009188,Red cell distribution width,,,OTAR_0000018,"genetic, familial or congenital disease"
Red blood cell (erythrocyte) distribution width,PIEZO1,EFO_0009188,Red cell distribution width,,,EFO_0000589,metabolic disease
Red blood cell (erythrocyte) distribution width,PIEZO1,EFO_0009188,Red cell distribution width,,,OTAR_0000020,nutritional or metabolic disease
Red blood cell (erythrocyte) distribution width,PIEZO1,EFO_0009188,Red cell distribution width,,,EFO_0000508,genetic disorder
Red blood cell (erythrocyte) distribution width,PIEZO1,EFO_0009188,Red cell distribution width,,,EFO_0001444,measurement
Red blood cell (erythrocyte) distribution width,PIEZO1,EFO_0009188,Red cell distribution width,,,EFO_0001379,endocrine system disease
Red blood cell (erythrocyte) distribution width,PIEZO1,EFO_0009188,Red cell distribution width,,,MONDO_0045024,cancer or benign tumor
Red blood cell (erythrocyte) distribution width,PIEZO1,EFO_0009188,Red cell distribution width,,,OTAR_0000010,respiratory or thoracic disease
Red blood cell (erythrocyte) distribution width,PIEZO1,EFO_0009188,Red cell distribution width,,,MONDO_0023370,neoplastic disease or syndrome
Apolipoprotein B,ALB,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Apolipoprotein B,ALB,,,,,EFO_0000589,metabolic disease
Apolipoprotein B,ALB,,,,,OTAR_0000020,nutritional or metabolic disease
Apolipoprotein B,ALB,,,,,EFO_0001064,Down syndrome
Apolipoprotein B,ALB,,,,,EFO_0001444,measurement
Apolipoprotein B,ALB,,,,,EFO_0001379,endocrine system disease
Sitting height,IGF1R,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Sitting height,IGF1R,,,,,EFO_0000508,genetic disorder
Sitting height,IGF1R,,,,,EFO_0001444,measurement
Sitting height,IGF1R,,,,,MONDO_0045024,cancer or benign tumor
Sitting height,IGF1R,,,,,EFO_0001379,endocrine system disease
Sitting height,IGF1R,,,,,EFO_0010285,integumentary system disease
Sitting height,IGF1R,,,,,EFO_0005803,hematologic disease
Sitting height,IGF1R,,,,,OTAR_0000006,musculoskeletal or connective tissue disease
Seated height,SCUBE3,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Seated height,SCUBE3,,,,,EFO_0001444,measurement
Seated height,SCUBE3,,,,,EFO_0000508,genetic disorder
Seated height,SCUBE3,,,,,EFO_0005803,hematologic disease
Seated height,SCUBE3,,,,,MONDO_0045024,cancer or benign tumor
Seated height,SCUBE3,,,,,EFO_0000616,neoplasm
Seated height,SCUBE3,,,,,MONDO_0023370,neoplastic disease or syndrome
Heel bone mineral density (BMD) T-score| automated (left),MEPE,,,,,EFO_0001444,measurement
Heel quantitative ultrasound index (QUI)| direct entry (left),MEPE,,,,,EFO_0001444,measurement
Standing height,IRS1,EFO_0004339,body height,,,OTAR_0000018,"genetic, familial or congenital disease"
Standing height,IRS1,EFO_0004339,body height,,,EFO_0000508,genetic disorder
Standing height,IRS1,EFO_0004339,body height,,,EFO_0001444,measurement
Standing height,IRS1,EFO_0004339,body height,,,OTAR_0000006,musculoskeletal or connective tissue disease
Standing height,IRS1,EFO_0004339,body height,,,EFO_0010282,gastrointestinal disease
Standing height,IRS1,EFO_0004339,body height,,,EFO_0001379,endocrine system disease
Standing height,IRS1,EFO_0004339,body height,,,EFO_0005803,hematologic disease
Standing height,IRS1,EFO_0004339,body height,,,MONDO_0045024,cancer or benign tumor
Standing height,IRS1,EFO_0004339,body height,,,EFO_0010285,integumentary system disease
Standing height,IRS1,EFO_0004339,body height,,,EFO_0000616,neoplasm
Standing height,IRS1,EFO_0004339,body height,,,MONDO_0023370,neoplastic disease or syndrome
Standing height,IRS1,EFO_0004339,body height,,,GO_0008150,biological process
Forced vital capacity (FVC) Z-score,OBSCN,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Forced vital capacity (FVC),HTRA1,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Forced vital capacity (FVC),HTRA1,,,,,EFO_0001444,measurement
Mean corpuscular volume,E2F8,EFO_0004526,mean corpuscular volume,,,EFO_0005803,hematologic disease
Mean corpuscular volume,E2F8,EFO_0004526,mean corpuscular volume,,,OTAR_0000018,"genetic, familial or congenital disease"
Mean corpuscular volume,E2F8,EFO_0004526,mean corpuscular volume,,,EFO_0001444,measurement
Mean corpuscular volume,E2F8,EFO_0004526,mean corpuscular volume,,,MONDO_0045024,cancer or benign tumor
Mean corpuscular volume,E2F8,EFO_0004526,mean corpuscular volume,,,EFO_0000589,metabolic disease
Mean corpuscular volume,E2F8,EFO_0004526,mean corpuscular volume,,,OTAR_0000020,nutritional or metabolic disease
Mean corpuscular volume,E2F8,EFO_0004526,mean corpuscular volume,,,EFO_0000508,genetic disorder
Mean corpuscular volume,E2F8,EFO_0004526,mean corpuscular volume,,,OTAR_0000010,respiratory or thoracic disease
Mean corpuscular volume,E2F8,EFO_0004526,mean corpuscular volume,,,EFO_0010285,integumentary system disease
Ankle spacing width,SMAD6,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Ankle spacing width,SMAD6,,,,,EFO_0000589,metabolic disease
Ankle spacing width,SMAD6,,,,,OTAR_0000020,nutritional or metabolic disease
Red blood cell (erythrocyte) distribution width,CD36,EFO_0009188,Red cell distribution width,,,EFO_0005803,hematologic disease
Red blood cell (erythrocyte) distribution width,CD36,EFO_0009188,Red cell distribution width,,,OTAR_0000018,"genetic, familial or congenital disease"
Red blood cell (erythrocyte) distribution width,CD36,EFO_0009188,Red cell distribution width,,,EFO_0000589,metabolic disease
Red blood cell (erythrocyte) distribution width,CD36,EFO_0009188,Red cell distribution width,,,OTAR_0000020,nutritional or metabolic disease
Red blood cell (erythrocyte) distribution width,CD36,EFO_0009188,Red cell distribution width,,,EFO_0000508,genetic disorder
Red blood cell (erythrocyte) distribution width,CD36,EFO_0009188,Red cell distribution width,,,EFO_0001444,measurement
Red blood cell (erythrocyte) distribution width,CD36,EFO_0009188,Red cell distribution width,,,EFO_0001379,endocrine system disease
Red blood cell (erythrocyte) distribution width,CD36,EFO_0009188,Red cell distribution width,,,MONDO_0045024,cancer or benign tumor
Red blood cell (erythrocyte) distribution width,CD36,EFO_0009188,Red cell distribution width,,,OTAR_0000010,respiratory or thoracic disease
Red blood cell (erythrocyte) distribution width,CD36,EFO_0009188,Red cell distribution width,,,MONDO_0023370,neoplastic disease or syndrome
Lymphocyte count,RASA3,EFO_0004587,lymphocyte count,,,EFO_0001444,measurement
Lymphocyte count,RASA3,EFO_0004587,lymphocyte count,,,OTAR_0000018,"genetic, familial or congenital disease"
Lymphocyte count,RASA3,EFO_0004587,lymphocyte count,,,MONDO_0045024,cancer or benign tumor
Impedance of arm (left),ADAMTS3,,,,,EFO_0010285,integumentary system disease
Impedance of arm (left),ADAMTS3,,,,,EFO_0000508,genetic disorder
Impedance of arm (left),ADAMTS3,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Impedance of arm (left),ADAMTS3,,,,,MONDO_0045024,cancer or benign tumor
Mean sphered cell volume,EPB41,EFO_0004526,mean corpuscular volume,,,EFO_0005803,hematologic disease
Mean sphered cell volume,EPB41,EFO_0004526,mean corpuscular volume,,,EFO_0000508,genetic disorder
Mean sphered cell volume,EPB41,EFO_0004526,mean corpuscular volume,,,OTAR_0000018,"genetic, familial or congenital disease"
Mean sphered cell volume,EPB41,EFO_0004526,mean corpuscular volume,,,EFO_0001379,endocrine system disease
Mean sphered cell volume,EPB41,EFO_0004526,mean corpuscular volume,,,MONDO_0045024,cancer or benign tumor
Mean sphered cell volume,EPB41,EFO_0004526,mean corpuscular volume,,,EFO_0010285,integumentary system disease
Mean sphered cell volume,EPB41,EFO_0004526,mean corpuscular volume,,,EFO_0001444,measurement
Mean sphered cell volume,EPB41,EFO_0004526,mean corpuscular volume,,,EFO_0010282,gastrointestinal disease
Heel bone mineral density (BMD) T-score| automated (right),MEPE,,,,,EFO_0001444,measurement
Heel quantitative ultrasound index (QUI)| direct entry (right),MEPE,,,,,EFO_0001444,measurement
Speed of sound through heel (left),MEPE,,,,,EFO_0001444,measurement
Mean platelet (thrombocyte) volume,ELOVL7,,,,,EFO_0001444,measurement
Mean platelet (thrombocyte) volume,ELOVL7,,,,,EFO_0000508,genetic disorder
Mean platelet (thrombocyte) volume,ELOVL7,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Mean platelet (thrombocyte) volume,ELOVL7,,,,,EFO_0005803,hematologic disease
Mean platelet (thrombocyte) volume,ELOVL7,,,,,MONDO_0045024,cancer or benign tumor
Mean platelet (thrombocyte) volume,ELOVL7,,,,,EFO_0000616,neoplasm
Mean platelet (thrombocyte) volume,ELOVL7,,,,,MONDO_0023370,neoplastic disease or syndrome
Mean platelet (thrombocyte) volume,ELOVL7,,,,,EFO_0009386,central nervous system disease
Mean platelet (thrombocyte) volume,ELOVL7,,,,,EFO_0000618,nervous system disease
Mean platelet (thrombocyte) volume,ELOVL7,,,,,EFO_0004584,mean platelet volume
Mean platelet (thrombocyte) volume,ELOVL7,,,,,EFO_0006846,autoimmune disease biomarker
Mean platelet (thrombocyte) volume,ELOVL7,,,,,EFO_0005036,platelet measurement
Mean platelet (thrombocyte) volume,ELOVL7,,,,,EFO_0004503,hematological measurement
Mean platelet (thrombocyte) volume,ELOVL7,,,,,EFO_0010285,integumentary system disease
Lymphocyte percentage,CXCR2,EFO_0007993,lymphocyte percentage of leukocytes,,,EFO_0010285,integumentary system disease
Lymphocyte percentage,CXCR2,EFO_0007993,lymphocyte percentage of leukocytes,,,EFO_0000540,immune system disease
Lymphocyte percentage,CXCR2,EFO_0007993,lymphocyte percentage of leukocytes,,,OTAR_0000018,"genetic, familial or congenital disease"
Lymphocyte percentage,CXCR2,EFO_0007993,lymphocyte percentage of leukocytes,,,EFO_0001444,measurement
Impedance of leg (right),ADAMTS3,,,,,EFO_0000589,metabolic disease
Impedance of leg (right),ADAMTS3,,,,,OTAR_0000020,nutritional or metabolic disease
Impedance of leg (right),ADAMTS3,,,,,EFO_0000508,genetic disorder
Impedance of leg (right),ADAMTS3,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Impedance of leg (right),ADAMTS3,,,,,EFO_0010285,integumentary system disease
Direct bilirubin,SLCO1B1,,,,,EFO_0000508,genetic disorder
Direct bilirubin,SLCO1B1,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Direct bilirubin,SLCO1B1,,,,,EFO_0000589,metabolic disease
Direct bilirubin,SLCO1B1,,,,,OTAR_0000020,nutritional or metabolic disease
Direct bilirubin,SLCO1B1,,,,,EFO_0001444,measurement
Direct bilirubin,SLCO1B1,,,,,EFO_0005803,hematologic disease
Mean platelet (thrombocyte) volume,ARHGAP10,,,,,EFO_0001444,measurement
Mean platelet (thrombocyte) volume,ARHGAP10,,,,,EFO_0000508,genetic disorder
Mean platelet (thrombocyte) volume,ARHGAP10,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Mean platelet (thrombocyte) volume,ARHGAP10,,,,,EFO_0005803,hematologic disease
Mean platelet (thrombocyte) volume,ARHGAP10,,,,,MONDO_0045024,cancer or benign tumor
Mean platelet (thrombocyte) volume,ARHGAP10,,,,,EFO_0000616,neoplasm
Mean platelet (thrombocyte) volume,ARHGAP10,,,,,MONDO_0023370,neoplastic disease or syndrome
Mean platelet (thrombocyte) volume,ARHGAP10,,,,,EFO_0009386,central nervous system disease
Mean platelet (thrombocyte) volume,ARHGAP10,,,,,EFO_0000618,nervous system disease
Mean platelet (thrombocyte) volume,ARHGAP10,,,,,EFO_0004584,mean platelet volume
Mean platelet (thrombocyte) volume,ARHGAP10,,,,,EFO_0006846,autoimmune disease biomarker
Mean platelet (thrombocyte) volume,ARHGAP10,,,,,EFO_0005036,platelet measurement
Mean platelet (thrombocyte) volume,ARHGAP10,,,,,EFO_0004503,hematological measurement
Mean platelet (thrombocyte) volume,ARHGAP10,,,,,EFO_0010285,integumentary system disease
Trunk fat mass,MC4R,EFO_0005409,fat body mass,,,EFO_0000589,metabolic disease
Trunk fat mass,MC4R,EFO_0005409,fat body mass,,,OTAR_0000020,nutritional or metabolic disease
Arm predicted mass (right),GH1,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Arm predicted mass (right),GH1,,,,,EFO_0001444,measurement
Arm predicted mass (right),GH1,,,,,MONDO_0045024,cancer or benign tumor
Arm predicted mass (right),GH1,,,,,EFO_0000589,metabolic disease
Arm predicted mass (right),GH1,,,,,OTAR_0000020,nutritional or metabolic disease
Arm predicted mass (right),GH1,,,,,EFO_0001379,endocrine system disease
High light scatter reticulocyte percentage,TRIM10,EFO_0009202,Reticulocyte Mean Corpuscular Hemoglobin Measurement,,,OTAR_0000018,"genetic, familial or congenital disease"
High light scatter reticulocyte percentage,TRIM10,EFO_0009202,Reticulocyte Mean Corpuscular Hemoglobin Measurement,,,EFO_0001444,measurement
High light scatter reticulocyte percentage,TRIM10,EFO_0009202,Reticulocyte Mean Corpuscular Hemoglobin Measurement,,,EFO_0000508,genetic disorder
High light scatter reticulocyte percentage,TRIM10,EFO_0009202,Reticulocyte Mean Corpuscular Hemoglobin Measurement,,,MONDO_0045024,cancer or benign tumor
High light scatter reticulocyte percentage,TRIM10,EFO_0009202,Reticulocyte Mean Corpuscular Hemoglobin Measurement,,,EFO_0000589,metabolic disease
High light scatter reticulocyte percentage,TRIM10,EFO_0009202,Reticulocyte Mean Corpuscular Hemoglobin Measurement,,,OTAR_0000020,nutritional or metabolic disease
High light scatter reticulocyte percentage,TRIM10,EFO_0009202,Reticulocyte Mean Corpuscular Hemoglobin Measurement,,,EFO_0000618,nervous system disease
