acid	aid	assay_component_name	assay_component_desc	assay_component_target_desc	biological_process_target	approved_symbol	id	ensembl_gene_id	_merge
166	11	BSK_hDFCGF_PAI1	BSK_hDFCGF_PAI1, is one of 12 assay component(s) measured or calculated from the BSK_hDFCGF assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	PAI-1 antibody is used to tag and quantify the level of serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and growth factors [GeneSymbol:SERPINE1 | GeneID:5054 | Uniprot_SwissProt_Accession:P05121].	regulation of gene expression	serpine1	ENSG00000106366	ENSG00000168542	both
166	11	BSK_hDFCGF_PAI1	BSK_hDFCGF_PAI1, is one of 12 assay component(s) measured or calculated from the BSK_hDFCGF assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	PAI-1 antibody is used to tag and quantify the level of serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and growth factors [GeneSymbol:SERPINE1 | GeneID:5054 | Uniprot_SwissProt_Accession:P05121].	regulation of gene expression	serpine1	ENSG00000106366	ENSG00000146648	both
166	11	BSK_hDFCGF_PAI1	BSK_hDFCGF_PAI1, is one of 12 assay component(s) measured or calculated from the BSK_hDFCGF assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	PAI-1 antibody is used to tag and quantify the level of serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and growth factors [GeneSymbol:SERPINE1 | GeneID:5054 | Uniprot_SwissProt_Accession:P05121].	regulation of gene expression	serpine1	ENSG00000106366	ENSG00000184371	both
166	11	BSK_hDFCGF_PAI1	BSK_hDFCGF_PAI1, is one of 12 assay component(s) measured or calculated from the BSK_hDFCGF assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	PAI-1 antibody is used to tag and quantify the level of serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and growth factors [GeneSymbol:SERPINE1 | GeneID:5054 | Uniprot_SwissProt_Accession:P05121].	regulation of gene expression	serpine1	ENSG00000106366	ENSG00000162692	both
166	11	BSK_hDFCGF_PAI1	BSK_hDFCGF_PAI1, is one of 12 assay component(s) measured or calculated from the BSK_hDFCGF assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	PAI-1 antibody is used to tag and quantify the level of serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and growth factors [GeneSymbol:SERPINE1 | GeneID:5054 | Uniprot_SwissProt_Accession:P05121].	regulation of gene expression	serpine1	ENSG00000106366	ENSG00000169429	both
166	11	BSK_hDFCGF_PAI1	BSK_hDFCGF_PAI1, is one of 12 assay component(s) measured or calculated from the BSK_hDFCGF assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	PAI-1 antibody is used to tag and quantify the level of serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and growth factors [GeneSymbol:SERPINE1 | GeneID:5054 | Uniprot_SwissProt_Accession:P05121].	regulation of gene expression	serpine1	ENSG00000106366	ENSG00000169245	both
166	11	BSK_hDFCGF_PAI1	BSK_hDFCGF_PAI1, is one of 12 assay component(s) measured or calculated from the BSK_hDFCGF assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	PAI-1 antibody is used to tag and quantify the level of serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and growth factors [GeneSymbol:SERPINE1 | GeneID:5054 | Uniprot_SwissProt_Accession:P05121].	regulation of gene expression	serpine1	ENSG00000106366	ENSG00000106366	both
166	11	BSK_hDFCGF_PAI1	BSK_hDFCGF_PAI1, is one of 12 assay component(s) measured or calculated from the BSK_hDFCGF assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	PAI-1 antibody is used to tag and quantify the level of serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and growth factors [GeneSymbol:SERPINE1 | GeneID:5054 | Uniprot_SwissProt_Accession:P05121].	regulation of gene expression	serpine1	ENSG00000106366	ENSG00000138755	both
166	11	BSK_hDFCGF_PAI1	BSK_hDFCGF_PAI1, is one of 12 assay component(s) measured or calculated from the BSK_hDFCGF assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	PAI-1 antibody is used to tag and quantify the level of serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and growth factors [GeneSymbol:SERPINE1 | GeneID:5054 | Uniprot_SwissProt_Accession:P05121].	regulation of gene expression	serpine1	ENSG00000106366	ENSG00000196611	both
166	11	BSK_hDFCGF_PAI1	BSK_hDFCGF_PAI1, is one of 12 assay component(s) measured or calculated from the BSK_hDFCGF assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	PAI-1 antibody is used to tag and quantify the level of serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and growth factors [GeneSymbol:SERPINE1 | GeneID:5054 | Uniprot_SwissProt_Accession:P05121].	regulation of gene expression	serpine1	ENSG00000106366	ENSG00000102265	both
169	11	BSK_hDFCGF_TIMP1	BSK_hDFCGF_TIMP1, is one of 12 assay component(s) measured or calculated from the BSK_hDFCGF assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	TIMP-1 antibody is used to tag and quantify the level of TIMP metallopeptidase inhibitor 1 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and growth factors [GeneSymbol:TIMP1 | GeneID:7076 | Uniprot_SwissProt_Accession:P01033].	regulation of gene expression	timp1	ENSG00000102265	ENSG00000168542	both
169	11	BSK_hDFCGF_TIMP1	BSK_hDFCGF_TIMP1, is one of 12 assay component(s) measured or calculated from the BSK_hDFCGF assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	TIMP-1 antibody is used to tag and quantify the level of TIMP metallopeptidase inhibitor 1 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and growth factors [GeneSymbol:TIMP1 | GeneID:7076 | Uniprot_SwissProt_Accession:P01033].	regulation of gene expression	timp1	ENSG00000102265	ENSG00000146648	both
169	11	BSK_hDFCGF_TIMP1	BSK_hDFCGF_TIMP1, is one of 12 assay component(s) measured or calculated from the BSK_hDFCGF assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	TIMP-1 antibody is used to tag and quantify the level of TIMP metallopeptidase inhibitor 1 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and growth factors [GeneSymbol:TIMP1 | GeneID:7076 | Uniprot_SwissProt_Accession:P01033].	regulation of gene expression	timp1	ENSG00000102265	ENSG00000184371	both
169	11	BSK_hDFCGF_TIMP1	BSK_hDFCGF_TIMP1, is one of 12 assay component(s) measured or calculated from the BSK_hDFCGF assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	TIMP-1 antibody is used to tag and quantify the level of TIMP metallopeptidase inhibitor 1 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and growth factors [GeneSymbol:TIMP1 | GeneID:7076 | Uniprot_SwissProt_Accession:P01033].	regulation of gene expression	timp1	ENSG00000102265	ENSG00000162692	both
169	11	BSK_hDFCGF_TIMP1	BSK_hDFCGF_TIMP1, is one of 12 assay component(s) measured or calculated from the BSK_hDFCGF assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	TIMP-1 antibody is used to tag and quantify the level of TIMP metallopeptidase inhibitor 1 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and growth factors [GeneSymbol:TIMP1 | GeneID:7076 | Uniprot_SwissProt_Accession:P01033].	regulation of gene expression	timp1	ENSG00000102265	ENSG00000169429	both
169	11	BSK_hDFCGF_TIMP1	BSK_hDFCGF_TIMP1, is one of 12 assay component(s) measured or calculated from the BSK_hDFCGF assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	TIMP-1 antibody is used to tag and quantify the level of TIMP metallopeptidase inhibitor 1 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and growth factors [GeneSymbol:TIMP1 | GeneID:7076 | Uniprot_SwissProt_Accession:P01033].	regulation of gene expression	timp1	ENSG00000102265	ENSG00000169245	both
169	11	BSK_hDFCGF_TIMP1	BSK_hDFCGF_TIMP1, is one of 12 assay component(s) measured or calculated from the BSK_hDFCGF assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	TIMP-1 antibody is used to tag and quantify the level of TIMP metallopeptidase inhibitor 1 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and growth factors [GeneSymbol:TIMP1 | GeneID:7076 | Uniprot_SwissProt_Accession:P01033].	regulation of gene expression	timp1	ENSG00000102265	ENSG00000106366	both
169	11	BSK_hDFCGF_TIMP1	BSK_hDFCGF_TIMP1, is one of 12 assay component(s) measured or calculated from the BSK_hDFCGF assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	TIMP-1 antibody is used to tag and quantify the level of TIMP metallopeptidase inhibitor 1 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and growth factors [GeneSymbol:TIMP1 | GeneID:7076 | Uniprot_SwissProt_Accession:P01033].	regulation of gene expression	timp1	ENSG00000102265	ENSG00000138755	both
169	11	BSK_hDFCGF_TIMP1	BSK_hDFCGF_TIMP1, is one of 12 assay component(s) measured or calculated from the BSK_hDFCGF assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	TIMP-1 antibody is used to tag and quantify the level of TIMP metallopeptidase inhibitor 1 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and growth factors [GeneSymbol:TIMP1 | GeneID:7076 | Uniprot_SwissProt_Accession:P01033].	regulation of gene expression	timp1	ENSG00000102265	ENSG00000196611	both
169	11	BSK_hDFCGF_TIMP1	BSK_hDFCGF_TIMP1, is one of 12 assay component(s) measured or calculated from the BSK_hDFCGF assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	TIMP-1 antibody is used to tag and quantify the level of TIMP metallopeptidase inhibitor 1 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and growth factors [GeneSymbol:TIMP1 | GeneID:7076 | Uniprot_SwissProt_Accession:P01033].	regulation of gene expression	timp1	ENSG00000102265	ENSG00000102265	both
170	11	BSK_hDFCGF_VCAM1	BSK_hDFCGF_VCAM1, is one of 12 assay component(s) measured or calculated from the BSK_hDFCGF assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	VCAM-1 antibody is used to tag and quantify the level of vascular cell adhesion molecule 1 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and growth factors [GeneSymbol:VCAM1 | GeneID:7412 | Uniprot_SwissProt_Accession:P19320].	regulation of gene expression	vcam1	ENSG00000162692	ENSG00000168542	both
170	11	BSK_hDFCGF_VCAM1	BSK_hDFCGF_VCAM1, is one of 12 assay component(s) measured or calculated from the BSK_hDFCGF assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	VCAM-1 antibody is used to tag and quantify the level of vascular cell adhesion molecule 1 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and growth factors [GeneSymbol:VCAM1 | GeneID:7412 | Uniprot_SwissProt_Accession:P19320].	regulation of gene expression	vcam1	ENSG00000162692	ENSG00000146648	both
170	11	BSK_hDFCGF_VCAM1	BSK_hDFCGF_VCAM1, is one of 12 assay component(s) measured or calculated from the BSK_hDFCGF assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	VCAM-1 antibody is used to tag and quantify the level of vascular cell adhesion molecule 1 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and growth factors [GeneSymbol:VCAM1 | GeneID:7412 | Uniprot_SwissProt_Accession:P19320].	regulation of gene expression	vcam1	ENSG00000162692	ENSG00000184371	both
170	11	BSK_hDFCGF_VCAM1	BSK_hDFCGF_VCAM1, is one of 12 assay component(s) measured or calculated from the BSK_hDFCGF assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	VCAM-1 antibody is used to tag and quantify the level of vascular cell adhesion molecule 1 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and growth factors [GeneSymbol:VCAM1 | GeneID:7412 | Uniprot_SwissProt_Accession:P19320].	regulation of gene expression	vcam1	ENSG00000162692	ENSG00000162692	both
170	11	BSK_hDFCGF_VCAM1	BSK_hDFCGF_VCAM1, is one of 12 assay component(s) measured or calculated from the BSK_hDFCGF assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	VCAM-1 antibody is used to tag and quantify the level of vascular cell adhesion molecule 1 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and growth factors [GeneSymbol:VCAM1 | GeneID:7412 | Uniprot_SwissProt_Accession:P19320].	regulation of gene expression	vcam1	ENSG00000162692	ENSG00000169429	both
170	11	BSK_hDFCGF_VCAM1	BSK_hDFCGF_VCAM1, is one of 12 assay component(s) measured or calculated from the BSK_hDFCGF assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	VCAM-1 antibody is used to tag and quantify the level of vascular cell adhesion molecule 1 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and growth factors [GeneSymbol:VCAM1 | GeneID:7412 | Uniprot_SwissProt_Accession:P19320].	regulation of gene expression	vcam1	ENSG00000162692	ENSG00000169245	both
170	11	BSK_hDFCGF_VCAM1	BSK_hDFCGF_VCAM1, is one of 12 assay component(s) measured or calculated from the BSK_hDFCGF assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	VCAM-1 antibody is used to tag and quantify the level of vascular cell adhesion molecule 1 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and growth factors [GeneSymbol:VCAM1 | GeneID:7412 | Uniprot_SwissProt_Accession:P19320].	regulation of gene expression	vcam1	ENSG00000162692	ENSG00000106366	both
170	11	BSK_hDFCGF_VCAM1	BSK_hDFCGF_VCAM1, is one of 12 assay component(s) measured or calculated from the BSK_hDFCGF assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	VCAM-1 antibody is used to tag and quantify the level of vascular cell adhesion molecule 1 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and growth factors [GeneSymbol:VCAM1 | GeneID:7412 | Uniprot_SwissProt_Accession:P19320].	regulation of gene expression	vcam1	ENSG00000162692	ENSG00000138755	both
170	11	BSK_hDFCGF_VCAM1	BSK_hDFCGF_VCAM1, is one of 12 assay component(s) measured or calculated from the BSK_hDFCGF assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	VCAM-1 antibody is used to tag and quantify the level of vascular cell adhesion molecule 1 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and growth factors [GeneSymbol:VCAM1 | GeneID:7412 | Uniprot_SwissProt_Accession:P19320].	regulation of gene expression	vcam1	ENSG00000162692	ENSG00000196611	both
170	11	BSK_hDFCGF_VCAM1	BSK_hDFCGF_VCAM1, is one of 12 assay component(s) measured or calculated from the BSK_hDFCGF assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	VCAM-1 antibody is used to tag and quantify the level of vascular cell adhesion molecule 1 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and growth factors [GeneSymbol:VCAM1 | GeneID:7412 | Uniprot_SwissProt_Accession:P19320].	regulation of gene expression	vcam1	ENSG00000162692	ENSG00000102265	both
171	12	BSK_KF3CT_ICAM1	BSK_KF3CT_ICAM1, is one of 9 assay component(s) measured or calculated from the BSK_KF3CT assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	ICAM-1 antibody is used to tag and quantify the level of intercellular adhesion molecule 1 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and TGFb [GeneSymbol:ICAM1 | GeneID:3383 | Uniprot_SwissProt_Accession:P05362].	regulation of gene expression	icam1	ENSG00000090339	ENSG00000108691	both
171	12	BSK_KF3CT_ICAM1	BSK_KF3CT_ICAM1, is one of 9 assay component(s) measured or calculated from the BSK_KF3CT assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	ICAM-1 antibody is used to tag and quantify the level of intercellular adhesion molecule 1 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and TGFb [GeneSymbol:ICAM1 | GeneID:3383 | Uniprot_SwissProt_Accession:P05362].	regulation of gene expression	icam1	ENSG00000090339	ENSG00000100985	both
171	12	BSK_KF3CT_ICAM1	BSK_KF3CT_ICAM1, is one of 9 assay component(s) measured or calculated from the BSK_KF3CT assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	ICAM-1 antibody is used to tag and quantify the level of intercellular adhesion molecule 1 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and TGFb [GeneSymbol:ICAM1 | GeneID:3383 | Uniprot_SwissProt_Accession:P05362].	regulation of gene expression	icam1	ENSG00000090339	ENSG00000122861	both
171	12	BSK_KF3CT_ICAM1	BSK_KF3CT_ICAM1, is one of 9 assay component(s) measured or calculated from the BSK_KF3CT assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	ICAM-1 antibody is used to tag and quantify the level of intercellular adhesion molecule 1 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and TGFb [GeneSymbol:ICAM1 | GeneID:3383 | Uniprot_SwissProt_Accession:P05362].	regulation of gene expression	icam1	ENSG00000090339	ENSG00000105329	both
171	12	BSK_KF3CT_ICAM1	BSK_KF3CT_ICAM1, is one of 9 assay component(s) measured or calculated from the BSK_KF3CT assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	ICAM-1 antibody is used to tag and quantify the level of intercellular adhesion molecule 1 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and TGFb [GeneSymbol:ICAM1 | GeneID:3383 | Uniprot_SwissProt_Accession:P05362].	regulation of gene expression	icam1	ENSG00000090339	ENSG00000178404	both
171	12	BSK_KF3CT_ICAM1	BSK_KF3CT_ICAM1, is one of 9 assay component(s) measured or calculated from the BSK_KF3CT assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	ICAM-1 antibody is used to tag and quantify the level of intercellular adhesion molecule 1 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and TGFb [GeneSymbol:ICAM1 | GeneID:3383 | Uniprot_SwissProt_Accession:P05362].	regulation of gene expression	icam1	ENSG00000090339	ENSG00000115008	both
171	12	BSK_KF3CT_ICAM1	BSK_KF3CT_ICAM1, is one of 9 assay component(s) measured or calculated from the BSK_KF3CT assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	ICAM-1 antibody is used to tag and quantify the level of intercellular adhesion molecule 1 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and TGFb [GeneSymbol:ICAM1 | GeneID:3383 | Uniprot_SwissProt_Accession:P05362].	regulation of gene expression	icam1	ENSG00000090339	ENSG00000169245	both
171	12	BSK_KF3CT_ICAM1	BSK_KF3CT_ICAM1, is one of 9 assay component(s) measured or calculated from the BSK_KF3CT assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	ICAM-1 antibody is used to tag and quantify the level of intercellular adhesion molecule 1 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and TGFb [GeneSymbol:ICAM1 | GeneID:3383 | Uniprot_SwissProt_Accession:P05362].	regulation of gene expression	icam1	ENSG00000090339	ENSG00000090339	both
172	12	BSK_KF3CT_IL1a	BSK_KF3CT_IL1a, is one of 9 assay component(s) measured or calculated from the BSK_KF3CT assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	IL-1a antibody is used to tag and quantify the level of interleukin 1, alpha protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and TGFb [GeneSymbol:IL1A | GeneID:3552 | Uniprot_SwissProt_Accession:P01583].	regulation of gene expression	il1a	ENSG00000115008	ENSG00000108691	both
172	12	BSK_KF3CT_IL1a	BSK_KF3CT_IL1a, is one of 9 assay component(s) measured or calculated from the BSK_KF3CT assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	IL-1a antibody is used to tag and quantify the level of interleukin 1, alpha protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and TGFb [GeneSymbol:IL1A | GeneID:3552 | Uniprot_SwissProt_Accession:P01583].	regulation of gene expression	il1a	ENSG00000115008	ENSG00000100985	both
172	12	BSK_KF3CT_IL1a	BSK_KF3CT_IL1a, is one of 9 assay component(s) measured or calculated from the BSK_KF3CT assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	IL-1a antibody is used to tag and quantify the level of interleukin 1, alpha protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and TGFb [GeneSymbol:IL1A | GeneID:3552 | Uniprot_SwissProt_Accession:P01583].	regulation of gene expression	il1a	ENSG00000115008	ENSG00000122861	both
172	12	BSK_KF3CT_IL1a	BSK_KF3CT_IL1a, is one of 9 assay component(s) measured or calculated from the BSK_KF3CT assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	IL-1a antibody is used to tag and quantify the level of interleukin 1, alpha protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and TGFb [GeneSymbol:IL1A | GeneID:3552 | Uniprot_SwissProt_Accession:P01583].	regulation of gene expression	il1a	ENSG00000115008	ENSG00000105329	both
172	12	BSK_KF3CT_IL1a	BSK_KF3CT_IL1a, is one of 9 assay component(s) measured or calculated from the BSK_KF3CT assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	IL-1a antibody is used to tag and quantify the level of interleukin 1, alpha protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and TGFb [GeneSymbol:IL1A | GeneID:3552 | Uniprot_SwissProt_Accession:P01583].	regulation of gene expression	il1a	ENSG00000115008	ENSG00000178404	both
172	12	BSK_KF3CT_IL1a	BSK_KF3CT_IL1a, is one of 9 assay component(s) measured or calculated from the BSK_KF3CT assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	IL-1a antibody is used to tag and quantify the level of interleukin 1, alpha protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and TGFb [GeneSymbol:IL1A | GeneID:3552 | Uniprot_SwissProt_Accession:P01583].	regulation of gene expression	il1a	ENSG00000115008	ENSG00000115008	both
172	12	BSK_KF3CT_IL1a	BSK_KF3CT_IL1a, is one of 9 assay component(s) measured or calculated from the BSK_KF3CT assay. It is designed to make measurements of enzyme-linked immunosorbent assay, a form of binding reporter, as detected with fluorescence intensity signals by Enzyme-linked immunosorbent assay technology.	IL-1a antibody is used to tag and quantify the level of interleukin 1, alpha protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and TGFb [GeneSymbol:IL1A | GeneID:3552 | Uniprot_SwissProt_Accession:P01583].	regulation of gene expression	il1a	ENSG00000115008	ENSG00000169245	both
